"Date","Price","Open","High","Low","Change %"
"Nov 17, 2022","3.7610","3.7390","3.7610","3.6490","1.43%"
"Nov 16, 2022","3.7080","3.7010","3.7540","3.6470","1.26%"
"Nov 15, 2022","3.6620","3.6530","3.6980","3.6290","0.60%"
"Nov 14, 2022","3.6400","3.6650","3.6980","3.6300","0.49%"
"Nov 13, 2022","3.6224","3.6224","3.6224","3.6224","1.72%"
"Nov 10, 2022","3.5610","3.5070","3.5890","3.5000","1.48%"
"Nov 09, 2022","3.5090","3.5830","3.6140","3.5070","-1.43%"
"Nov 08, 2022","3.5600","3.6550","3.6650","3.5380","-1.79%"
"Nov 07, 2022","3.6250","3.6910","3.6980","3.6190","-2.80%"
"Nov 06, 2022","3.7294","3.6836","3.7294","3.6836","1.95%"
"Nov 04, 2022","3.6580","3.6920","3.7240","3.6530","6.03%"
"Nov 03, 2022","3.4500","3.5650","3.6290","3.3970","-3.85%"
"Nov 02, 2022","3.5880","3.6470","3.6540","3.5680","-0.80%"
"Nov 01, 2022","3.6170","3.6650","3.6700","3.6120","-0.36%"
"Oct 31, 2022","3.6300","3.6960","3.7090","3.6190","-1.93%"
"Oct 30, 2022","3.7014","3.7014","3.7014","3.7014","1.27%"
"Oct 28, 2022","3.6550","3.6870","3.7040","3.6500","9.07%"
"Oct 27, 2022","3.3510","3.4100","3.4250","3.3330","-1.50%"
"Oct 26, 2022","3.4020","3.4510","3.4740","3.3690","-0.61%"
"Oct 25, 2022","3.4230","3.5150","3.5780","3.4200","-1.55%"
"Oct 24, 2022","3.4770","3.5030","3.5250","3.4560","-0.88%"
"Oct 23, 2022","3.5077","3.5077","3.5077","3.5077","1.03%"
"Oct 21, 2022","3.4720","3.5370","3.5410","3.4670","8.91%"
"Oct 20, 2022","3.1880","3.2040","3.2190","3.1370","0.38%"
"Oct 19, 2022","3.1760","3.1810","3.2160","3.1500","1.37%"
"Oct 18, 2022","3.1330","3.2320","3.2420","3.1320","-2.31%"
"Oct 17, 2022","3.2070","3.2600","3.3700","3.1810","-1.95%"
"Oct 16, 2022","3.2707","3.2707","3.2707","3.2707","1.61%"
"Oct 14, 2022","3.2190","3.1110","3.3580","3.1110","9.64%"
"Oct 13, 2022","2.9360","2.9970","2.9970","2.9210","-0.27%"
"Oct 12, 2022","2.9440","2.9770","3.0030","2.9340","-0.61%"
"Oct 11, 2022","2.9620","3.0080","3.0130","2.9490","-1.45%"
"Oct 10, 2022","3.0055","2.9673","3.0055","2.9673","1.30%"
"Oct 07, 2022","2.9670","2.9670","3.0110","2.9670","5.36%"
"Oct 06, 2022","2.8160","2.7990","2.8830","2.7860","1.99%"
"Oct 05, 2022","2.7610","2.8120","2.8270","2.7610","-0.83%"
"Oct 04, 2022","2.7840","2.7660","2.8780","2.7510","0.91%"
"Oct 03, 2022","2.7590","2.7430","2.7990","2.7430","-0.17%"
"Oct 02, 2022","2.7638","2.7180","2.7638","2.7180","0.94%"
"Sep 30, 2022","2.7380","2.6190","2.7820","2.6190","9.13%"
"Sep 29, 2022","2.5090","2.5620","2.5920","2.5030","-0.99%"
"Sep 28, 2022","2.5340","2.6590","2.7050","2.5090","-4.23%"
"Sep 27, 2022","2.6460","2.7230","2.7300","2.6310","-0.23%"
"Sep 26, 2022","2.6520","2.6720","2.6870","2.6520","-0.76%"
"Sep 25, 2022","2.6722","2.6722","2.6722","2.6722","0.69%"
"Sep 23, 2022","2.6540","2.7590","2.7590","2.6210","7.45%"
"Sep 22, 2022","2.4700","2.5830","2.5830","2.4480","-1.75%"
"Sep 21, 2022","2.5140","2.5320","2.5720","2.4960","-0.32%"
