Date,Price,Time to Expiry,Bond Price
2022-05-25,2.7259,5.69041095890411,103.48593555380157
2022-05-26,2.7057,5.6876712328767125,103.59990890163294
2022-05-27,2.7242,5.684931506849315,103.50770212584808
2022-05-30,2.807,5.676712328767123,103.08760501586235
2022-05-31,2.8207,5.673972602739726,103.02169385759004
2022-06-01,2.916,5.671232876712328,102.5262002172636
2022-06-02,2.9111,5.668493150684932,102.55866594606044
2022-06-03,2.9371,5.6657534246575345,102.42896953199407
2022-06-05,2.9354,5.66027397260274,102.4514212110092
2022-06-06,3.0368,5.657534246575342,101.92867794292569
2022-06-07,2.9906,5.654794520547945,102.17641927623546
2022-06-08,3.0355,5.652054794520548,101.94936870639772
2022-06-09,3.0702,5.64931506849315,101.77603328641327
2022-06-10,3.2637,5.646575342465753,100.7847276964979
2022-06-12,3.3074,5.641095890410959,100.5757660150056
2022-06-13,3.482,5.638356164383562,99.69531642452992
2022-06-14,3.6013,5.635616438356164,99.10181671738738
2022-06-15,3.3734,5.632876712328767,100.26170891592878
2022-06-16,3.286,5.63013698630137,100.7149844744771
2022-06-17,3.3436,5.627397260273972,100.42854331435687
2022-06-20,3.3894,5.619178082191781,100.21844538996368
2022-06-21,3.3651,5.616438356164384,100.34941931166895
2022-06-22,3.2336,5.6136986301369864,101.02731488332746
2022-06-23,3.1412,5.610958904109589,101.5085761771853
2022-06-24,3.1875,5.608219178082192,101.278038968285
2022-06-26,3.1857,5.602739726027397,101.301774796174
2022-06-27,3.2598,5.6,100.93030098709133
2022-06-28,3.2347,5.597260273972603,101.06575066777832
2022-06-29,3.1395,5.594520547945206,101.56032597714233
2022-06-30,3.0429,5.5917808219178085,102.06447726065795
2022-07-01,2.8842,5.589041095890411,102.89372763566827
2022-07-04,2.916,5.580821917808219,102.74859675451354
2022-07-05,2.8236,5.578082191780822,103.23599617355431
2022-07-06,2.9797,5.575342465753424,102.43235959118988
2022-07-07,3.0387,5.572602739726028,102.13502522024395
2022-07-08,3.1217,5.5698630136986305,101.71597635345432
2022-07-10,3.1438,5.564383561643836,101.61725153859877
2022-07-11,3.0535,5.561643835616438,102.08693375994801
2022-07-12,3.0195,5.558904109589041,102.26865335791945
2022-07-13,3.0278,5.556164383561644,102.2329399765812
2022-07-14,3.0634,5.553424657534246,102.05721306971549
2022-07-15,3.0477,5.550684931506849,102.14474271733883
2022-07-17,3.0477,5.545205479452055,102.15875608402493
2022-07-18,3.1039,5.542465753424658,101.87828202259217
2022-07-19,3.1603,5.53972602739726,101.59793485603743
2022-07-20,3.1672,5.536986301369863,101.57006497775075
2022-07-21,2.9894,5.534246575342466,102.48566852207287
2022-07-22,2.8481,5.531506849315068,103.22086667335338
2022-07-24,2.8819,5.526027397260274,103.05949545816466
2022-07-25,2.8885,5.523287671232877,103.03214280530045
2022-07-26,2.9002,5.52054794520548,102.97854998238962
2022-07-27,2.8361,5.517808219178082,103.31601154812714
2022-07-28,2.6979,5.515068493150685,104.0395766593895
2022-07-29,2.6811,5.512328767123288,104.13342259572204
2022-07-31,2.7029,5.506849315068493,104.03256966404732
2022-08-01,2.6542,5.504109589041096,104.29246535249213
2022-08-02,2.8582,5.501369863013698,103.24174457162705
2022-08-03,2.8294,5.498630136986302,101.89737201991399
2022-08-04,2.7972,5.495890410958904,102.06750795964571
2022-08-05,2.9572,5.493150684931507,101.26470376635982
2022-08-07,2.9675,5.487671232876712,101.22658724924439
2022-08-08,2.9061,5.484931506849315,101.54261946353904
2022-08-09,2.9608,5.482191780821918,101.27399061251882
2022-08-10,2.9267,5.47945205479452,101.4523477531998
2022-08-11,2.9919,5.476712328767123,101.13163647788556
2022-08-12,2.9647,5.473972602739726,101.2749767825611
2022-08-14,2.9699,5.468493150684932,101.26262664205902
2022-08-15,2.9066,5.465753424657534,101.58735100303751
2022-08-16,2.9615,5.463013698630137,101.3184732172947
2022-08-17,3.0529,5.46027397260274,100.86853738791615
2022-08-18,3.0323,5.457534246575342,100.97827965329284
2022-08-19,3.0967,5.454794520547945,100.66471619623152
2022-08-21,3.1158,5.449315068493151,100.58418233689142
2022-08-22,3.1646,5.446575342465754,100.34975254670078
2022-08-23,3.1788,5.443835616438356,100.28685752922617
2022-08-24,3.2366,5.441095890410959,100.00930552150034
2022-08-25,3.159,5.438356164383562,100.39916300228295
2022-08-26,3.1914,5.435616438356164,100.24656943705197
2022-08-28,3.2444,5.4301369863013695,100.00054911304059
2022-08-29,3.2615,5.427397260273972,99.92406259819407
2022-08-30,3.2718,5.424657534246576,99.8810270028593
2022-08-31,3.3526,5.421917808219178,99.4937157796423
