"Date","Price","Open","High","Low","Change %"
"Oct 30, 2022","4.2019","4.2002","4.2037","4.2002","0.50%"
"Oct 28, 2022","4.1809","4.0660","4.2140","4.0470","2.83%"
"Oct 27, 2022","4.0658","4.1910","4.2630","4.0430","-2.92%"
"Oct 26, 2022","4.1882","4.2520","4.2790","4.1650","-1.67%"
"Oct 25, 2022","4.2592","4.3430","4.3500","4.1950","-2.45%"
"Oct 24, 2022","4.3662","4.3270","4.4020","4.2410","0.87%"
"Oct 23, 2022","4.3286","4.3215","4.3286","4.3215","-0.45%"
"Oct 21, 2022","4.3483","4.4370","4.5060","4.3050","-2.24%"
"Oct 20, 2022","4.4481","4.3640","4.4610","4.3250","2.05%"
"Oct 19, 2022","4.3586","4.2230","4.3640","4.2200","3.24%"
"Oct 18, 2022","4.2217","4.2200","4.2690","4.1720","-0.25%"
"Oct 17, 2022","4.2323","4.2500","4.2590","4.1390","-0.37%"
"Oct 16, 2022","4.2482","4.2446","4.2482","4.2446","-0.50%"
"Oct 14, 2022","4.2694","4.2290","4.2930","4.1070","1.47%"
"Oct 13, 2022","4.2074","4.1250","4.3440","4.0580","2.09%"
"Oct 12, 2022","4.1212","4.1760","4.1930","4.0900","-1.22%"
"Oct 11, 2022","4.1722","4.1740","4.2340","4.0930","-0.04%"
"Oct 10, 2022","4.1739","4.1704","4.1739","4.1704","0.59%"
"Oct 07, 2022","4.1493","4.0710","4.1740","4.0640","1.89%"
"Oct 06, 2022","4.0724","3.9590","4.0760","3.9380","2.72%"
"Oct 05, 2022","3.9645","3.8420","4.0040","3.8250","2.87%"
"Oct 04, 2022","3.8539","3.8450","3.8830","3.7680","-0.71%"
"Oct 03, 2022","3.8816","4.0660","4.0740","3.7870","-4.57%"
"Oct 02, 2022","4.0673","4.0673","4.0673","4.0673","-0.47%"
"Sep 30, 2022","4.0865","4.0210","4.0970","3.9250","1.73%"
"Sep 29, 2022","4.0171","3.9770","4.0990","3.9570","1.67%"
"Sep 28, 2022","3.9513","4.1840","4.2510","3.9100","-5.82%"
"Sep 27, 2022","4.1955","4.1820","4.2390","4.0450","-0.07%"
"Sep 26, 2022","4.1986","4.0350","4.2000","4.0130","4.01%"
"Sep 25, 2022","4.0366","4.0131","4.0366","4.0131","1.50%"
"Sep 23, 2022","3.9771","3.9380","4.0840","3.9050","1.22%"
"Sep 22, 2022","3.9291","3.7890","3.9420","3.7750","4.28%"
"Sep 21, 2022","3.7680","3.7390","3.8610","3.6950","0.43%"
"Sep 20, 2022","3.7517","3.6880","3.7770","3.6700","1.69%"
"Sep 19, 2022","3.6894","3.6260","3.7140","3.6260","1.46%"
"Sep 18, 2022","3.6362","3.6362","3.6362","3.6362","0.00%"
"Sep 16, 2022","3.6362","3.6650","3.7050","3.6130","-0.70%"
"Sep 15, 2022","3.6618","3.6070","3.6900","3.5960","1.72%"
"Sep 14, 2022","3.6000","3.5960","3.6580","3.5630","0.64%"
"Sep 13, 2022","3.5770","3.4350","3.6210","3.3830","3.60%"
"Sep 12, 2022","3.4528","3.4370","3.4740","3.3830","0.46%"
"Sep 11, 2022","3.4370","3.4387","3.4387","3.4370","0.00%"
"Sep 09, 2022","3.4370","3.4260","3.4530","3.3490","0.27%"
"Sep 08, 2022","3.4278","3.3650","3.4310","3.2890","2.01%"
"Sep 07, 2022","3.3602","3.4540","3.4710","3.3530","-2.70%"
"Sep 06, 2022","3.4536","3.3340","3.4620","3.3200","3.53%"
"Sep 05, 2022","3.3358","3.3375","3.3375","3.3324","1.15%"
"Sep 02, 2022","3.2979","3.4080","3.4130","3.2690","-3.13%"
"Sep 01, 2022","3.4044","3.3540","3.4420","3.3230","1.55%"
"Aug 31, 2022","3.3526","3.2670","3.3580","3.2510","2.47%"
"Aug 30, 2022","3.2718","3.2480","3.3130","3.2030","0.32%"
"Aug 29, 2022","3.2615","3.2460","3.3010","3.2410","0.53%"
"Aug 28, 2022","3.2444","3.2461","3.2461","3.2427","1.66%"
"Aug 26, 2022","3.1914","3.1620","3.2290","3.1370","1.03%"
"Aug 25, 2022","3.1590","3.2070","3.2240","3.1510","-2.40%"
"Aug 24, 2022","3.2366","3.1750","3.2580","3.1340","1.82%"
"Aug 23, 2022","3.1788","3.1630","3.2070","3.0970","0.45%"
"Aug 22, 2022","3.1646","3.1140","3.1840","3.0710","1.57%"
"Aug 21, 2022","3.1158","3.1106","3.1158","3.1106","0.62%"
"Aug 19, 2022","3.0967","3.0200","3.1280","3.0200","2.12%"
"Aug 18, 2022","3.0323","3.0480","3.0820","2.9770","-0.67%"
"Aug 17, 2022","3.0529","2.9700","3.0840","2.9560","3.09%"
"Aug 16, 2022","2.9615","2.8930","2.9840","2.8840","1.89%"
"Aug 15, 2022","2.9066","2.9680","2.9920","2.8780","-2.13%"
"Aug 14, 2022","2.9699","2.9682","2.9699","2.9682","0.18%"
"Aug 12, 2022","2.9647","2.9880","3.0070","2.9320","-0.91%"
"Aug 11, 2022","2.9919","2.9280","3.0040","2.8520","2.23%"
"Aug 10, 2022","2.9267","2.9680","3.0450","2.7940","-1.15%"
"Aug 09, 2022","2.9608","2.9040","2.9870","2.8960","1.88%"
"Aug 08, 2022","2.9061","2.9670","2.9900","2.8920","-2.07%"
"Aug 07, 2022","2.9675","2.9726","2.9726","2.9675","0.35%"
"Aug 05, 2022","2.9572","2.7790","2.9900","2.7750","5.72%"
"Aug 04, 2022","2.7972","2.8430","2.8720","2.7530","-1.14%"
"Aug 03, 2022","2.8294","2.8560","2.9740","2.8020","-1.01%"
"Aug 02, 2022","2.8582","2.6290","2.8730","2.5790","7.69%"
"Aug 01, 2022","2.6542","2.7030","2.7210","2.6370","-1.80%"
"Jul 31, 2022","2.7029","2.6962","2.7029","2.6962","0.81%"
"Jul 29, 2022","2.6811","2.7030","2.7670","2.6580","-0.62%"
"Jul 28, 2022","2.6979","2.8190","2.8840","2.6530","-4.87%"
"Jul 27, 2022","2.8361","2.8940","2.9160","2.7920","-2.21%"
"Jul 26, 2022","2.9002","2.8870","2.9070","2.7970","0.41%"
"Jul 25, 2022","2.8885","2.8870","2.9190","2.8600","0.23%"
"Jul 24, 2022","2.8819","2.8853","2.8853","2.8819","1.19%"
"Jul 22, 2022","2.8481","2.9890","3.0180","2.8090","-4.73%"
"Jul 21, 2022","2.9894","3.1620","3.2120","2.9740","-5.61%"
"Jul 20, 2022","3.1672","3.1600","3.1810","3.0700","0.22%"
"Jul 19, 2022","3.1603","3.0990","3.1620","3.0660","1.82%"
"Jul 18, 2022","3.1039","3.0440","3.1310","3.0290","1.84%"
"Jul 17, 2022","3.0477","3.0477","3.0477","3.0477","0.00%"
"Jul 15, 2022","3.0477","3.0620","3.0900","2.9950","-0.51%"
"Jul 14, 2022","3.0634","3.0430","3.1550","3.0130","1.18%"
"Jul 13, 2022","3.0278","3.0110","3.1540","2.9670","0.27%"
"Jul 12, 2022","3.0195","3.0470","3.0520","2.9530","-1.11%"
"Jul 11, 2022","3.0535","3.1420","3.1490","3.0110","-2.87%"
"Jul 10, 2022","3.1438","3.1472","3.1472","3.1438","0.71%"
"Jul 08, 2022","3.1217","3.0370","3.1590","3.0000","2.73%"
"Jul 07, 2022","3.0387","2.9800","3.0680","2.9380","1.98%"
"Jul 06, 2022","2.9797","2.8350","2.9830","2.7350","5.53%"
"Jul 05, 2022","2.8236","2.9140","2.9730","2.7720","-3.17%"
"Jul 04, 2022","2.9160","2.9144","2.9160","2.9144","1.10%"
"Jul 01, 2022","2.8842","3.0530","3.0560","2.7800","-5.22%"
"Jun 30, 2022","3.0429","3.1330","3.1600","3.0030","-3.08%"
"Jun 29, 2022","3.1395","3.2360","3.2480","3.1390","-2.94%"
"Jun 28, 2022","3.2347","3.2590","3.3130","3.2240","-0.77%"
"Jun 27, 2022","3.2598","3.1860","3.2910","3.1700","2.33%"
"Jun 26, 2022","3.1857","3.1892","3.1892","3.1857","-0.06%"
"Jun 24, 2022","3.1875","3.1360","3.1980","3.0810","1.47%"
"Jun 23, 2022","3.1412","3.2230","3.2510","3.0370","-2.86%"
"Jun 22, 2022","3.2336","3.3700","3.3720","3.2020","-3.91%"
"Jun 21, 2022","3.3651","3.3880","3.4200","3.3510","-0.72%"
"Jun 20, 2022","3.3894","3.3859","3.3912","3.3859","1.37%"
"Jun 17, 2022","3.3436","3.3210","3.4250","3.2800","1.75%"
"Jun 16, 2022","3.2860","3.3840","3.5880","3.2720","-2.59%"
"Jun 15, 2022","3.3734","3.5640","3.5780","3.3680","-6.33%"
"Jun 14, 2022","3.6013","3.5070","3.6230","3.3570","3.43%"
"Jun 13, 2022","3.4820","3.3060","3.5810","3.2850","5.28%"
"Jun 12, 2022","3.3074","3.3109","3.3109","3.3039","1.34%"
"Jun 10, 2022","3.2637","3.0790","3.2660","3.0530","6.30%"
"Jun 09, 2022","3.0702","3.0420","3.0890","3.0170","1.14%"
