"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"Dec 08, 2022","4.6940","4.7130","4.7290","4.6770","0.41%"
"Dec 07, 2022","4.6750","4.7810","4.7810","4.6640","-1.16%"
"Dec 06, 2022","4.7300","4.7930","4.8220","4.7270","-0.63%"
"Dec 05, 2022","4.7600","4.7140","4.7850","4.6920","1.20%"
"Dec 04, 2022","4.7035","4.6872","4.7035","4.6872","0.42%"
"Dec 02, 2022","4.6840","4.6950","4.7580","4.6000","0.60%"
"Dec 01, 2022","4.6560","4.7840","4.7840","4.6480","-1.61%"
"Nov 30, 2022","4.7320","4.7920","4.8190","4.7190","-0.27%"
"Nov 29, 2022","4.7450","4.7970","4.7970","4.7310","-0.23%"
"Nov 28, 2022","4.7560","4.7920","4.7920","4.7370","-0.80%"
"Nov 27, 2022","4.7943","4.7970","4.7970","4.7943","0.74%"
"Nov 25, 2022","4.7590","4.7600","4.7670","4.7190","-0.09%"
"Nov 24, 2022","4.7632","4.7577","4.7632","4.7577","0.11%"
"Nov 23, 2022","4.7580","4.7850","4.8260","4.7440","-0.63%"
"Nov 22, 2022","4.7880","4.7920","4.7990","4.7320","0.88%"
"Nov 21, 2022","4.7460","4.7810","4.7840","4.7320","-0.68%"
"Nov 20, 2022","4.7785","4.7487","4.8002","4.7487","0.92%"
"Nov 18, 2022","4.7350","4.7200","4.7600","4.7000","1.13%"
"Nov 17, 2022","4.6820","4.6180","4.7070","4.6120","1.34%"
"Nov 16, 2022","4.6200","4.6450","4.6480","4.5910","0.33%"
"Nov 15, 2022","4.6050","4.6450","4.6510","4.5800","-0.52%"
"Nov 14, 2022","4.6290","4.6190","4.6590","4.6100","0.93%"
"Nov 13, 2022","4.5865","4.5865","4.5865","4.5865","0.19%"
"Nov 10, 2022","4.5780","4.7700","4.7790","4.5510","-3.48%"
"Nov 09, 2022","4.7430","4.8000","4.8050","4.6970","-0.36%"
"Nov 08, 2022","4.7600","4.8010","4.8030","4.7410","-0.56%"
"Nov 07, 2022","4.7870","4.7870","4.8090","4.7630","0.04%"
