"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"Nov 04, 2022","4.5059","4.4750","4.5340","4.4400","1.11%"
"Nov 03, 2022","4.4566","4.4540","4.5200","4.4070","0.86%"
"Nov 02, 2022","4.4184","4.3650","4.4420","4.3390","1.23%"
"Nov 01, 2022","4.3649","4.4350","4.4370","4.2880","-0.88%"
"Oct 31, 2022","4.4038","4.3970","4.4760","4.3880","0.12%"
"Oct 30, 2022","4.3985","4.3972","4.3985","4.3972","0.15%"
"Oct 28, 2022","4.3920","4.3270","4.4300","4.3130","1.54%"
"Oct 27, 2022","4.3256","4.3730","4.4430","4.2910","-1.00%"
"Oct 26, 2022","4.3695","4.4690","4.4850","4.3630","-2.17%"
"Oct 25, 2022","4.4662","4.6020","4.6050","4.4370","-3.24%"
"Oct 24, 2022","4.6159","4.5780","4.6700","4.5100","0.86%"
"Oct 23, 2022","4.5766","4.5712","4.5766","4.5712","-0.18%"
"Oct 21, 2022","4.5847","4.4840","4.6320","4.4820","2.21%"
"Oct 20, 2022","4.4856","4.4080","4.5000","4.3810","1.94%"
"Oct 19, 2022","4.4001","4.2940","4.4040","4.2890","2.65%"
"Oct 18, 2022","4.2864","4.2880","4.3620","4.2630","-0.20%"
"Oct 17, 2022","4.2952","4.2860","4.3120","4.2060","0.24%"
"Oct 16, 2022","4.2849","4.2888","4.2888","4.2849","-0.36%"
"Oct 14, 2022","4.3003","4.2550","4.3090","4.1590","1.36%"
"Oct 13, 2022","4.2427","4.1920","4.3320","4.1420","1.36%"
"Oct 12, 2022","4.1858","4.2270","4.2670","4.1750","-0.81%"
"Oct 11, 2022","4.2198","4.2300","4.2550","4.1400","-0.21%"
"Oct 10, 2022","4.2285","4.2298","4.2298","4.2285","1.94%"
"Oct 07, 2022","4.1482","4.0820","4.1930","4.0770","1.52%"
"Oct 06, 2022","4.0859","4.0490","4.1180","4.0230","1.03%"
"Oct 05, 2022","4.0441","3.9720","4.0990","3.9650","1.47%"
"Oct 04, 2022","3.9857","3.9530","3.9920","3.9100","0.61%"
"Oct 03, 2022","3.9614","4.0860","4.0890","3.9280","-3.01%"
"Oct 02, 2022","4.0844","4.0820","4.0844","4.0795","-0.30%"
"Sep 30, 2022","4.0968","4.0150","4.0990","3.9460","1.71%"
"Sep 29, 2022","4.0279","4.0160","4.1020","3.9840","0.61%"
"Sep 28, 2022","4.0035","4.1470","4.2110","3.9670","-3.32%"
"Sep 27, 2022","4.1410","4.0530","4.1760","3.9840","1.88%"
"Sep 26, 2022","4.0644","3.9330","4.0700","3.9070","3.30%"
"Sep 25, 2022","3.9346","3.9202","3.9370","3.9202","1.01%"
"Sep 23, 2022","3.8952","3.9110","3.9940","3.8410","-0.36%"
"Sep 22, 2022","3.9093","3.7680","3.9190","3.7230","3.88%"
"Sep 21, 2022","3.7633","3.8290","3.8990","3.7330","-1.71%"
"Sep 20, 2022","3.8287","3.7930","3.8740","3.7810","0.93%"
"Sep 19, 2022","3.7935","3.7930","3.8430","3.7520","0.12%"
"Sep 18, 2022","3.7888","3.7888","3.7888","3.7888","0.00%"
"Sep 16, 2022","3.7888","3.7500","3.8370","3.7400","0.96%"
"Sep 15, 2022","3.7526","3.7250","3.7860","3.7240","0.65%"
"Sep 14, 2022","3.7283","3.7510","3.7990","3.7210","-0.43%"
"Sep 13, 2022","3.7444","3.7440","3.8140","3.6880","-0.12%"
"Sep 12, 2022","3.7490","3.7050","3.7710","3.6560","1.24%"
"Sep 11, 2022","3.7029","3.6983","3.7029","3.6983","0.00%"
"Sep 09, 2022","3.7029","3.7200","3.7330","3.6580","-0.52%"
"Sep 08, 2022","3.7224","3.6680","3.7280","3.6120","1.60%"
"Sep 07, 2022","3.6638","3.7530","3.7710","3.6430","-2.51%"
"Sep 06, 2022","3.7581","3.6400","3.7630","3.6250","3.22%"
"Sep 05, 2022","3.6410","3.7720","3.7720","3.6376","0.62%"
"Sep 02, 2022","3.6184","3.6520","3.6800","3.5930","-0.68%"
"Sep 01, 2022","3.6432","3.5790","3.6750","3.5610","1.89%"
