"Date"        ,"Price" ,"Open"  ,"High"  ,"Low"   ,"Change %"
"May 01, 2022","0.8967","0.8432","0.8967","0.8432","6.62%"
"Apr 29, 2022","0.8410","0.8530","0.8690","0.8330","1.94%"
"Apr 28, 2022","0.8250","0.8640","0.8920","0.8080","-0.36%"
"Apr 27, 2022","0.8280","0.8590","0.8690","0.8280","-3.27%"
"Apr 26, 2022","0.8560","0.9380","0.9380","0.8430","3.13%"
"Apr 25, 2022","0.8300","0.8640","0.8760","0.8250","-6.37%"
"Apr 24, 2022","0.8865","0.8432","0.8865","0.8432","7.07%"
"Apr 22, 2022","0.8280","0.8460","0.8760","0.8280","0.00%"
"Apr 21, 2022","0.8280","0.8560","0.8890","0.8150","0.61%"
"Apr 20, 2022","0.8230","0.8540","0.8710","0.8150","-3.86%"
"Apr 19, 2022","0.8560","0.8940","0.8990","0.8460","9.74%"
"Apr 18, 2022","0.7800","0.7970","0.8230","0.7720","-2.50%"
"Apr 17, 2022","0.8000","0.7923","0.8050","0.7923","1.65%"
"Apr 14, 2022","0.7870","0.7750","0.8050","0.7690","3.96%"
"Apr 13, 2022","0.7570","0.7620","0.7670","0.7470","-0.26%"
"Apr 12, 2022","0.7590","0.8200","0.8260","0.7540","7.51%"
"Apr 11, 2022","0.7060","0.7360","0.7360","0.7010","1.12%"
"Apr 10, 2022","0.6982","0.6957","0.6982","0.6957","0.03%"
"Apr 08, 2022","0.6980","0.7110","0.7240","0.6880","2.20%"
"Apr 07, 2022","0.6830","0.6830","0.7140","0.6750","-0.73%"
"Apr 06, 2022","0.6880","0.7190","0.7190","0.6750","0.00%"
"Apr 05, 2022","0.6880","0.6910","0.7140","0.6800","21.55%"
"Apr 04, 2022","0.5660","0.5280","0.5680","0.5280","7.75%"
"Apr 03, 2022","0.5253","0.5533","0.5533","0.5253","-0.51%"
"Apr 01, 2022","0.5280","0.5330","0.5560","0.5200","1.54%"
"Mar 31, 2022","0.5200","0.5430","0.5660","0.5150","-3.35%"
"Mar 30, 2022","0.5380","0.6020","0.6020","0.5300","-6.27%"
"Mar 29, 2022","0.5740","0.6470","0.6860","0.5710","3.24%"
"Mar 28, 2022","0.5560","0.5180","0.5810","0.5100","6.35%"
"Mar 27, 2022","0.5228","0.5228","0.5228","0.5228","-2.83%"
"Mar 25, 2022","0.5380","0.5200","0.5680","0.5200","3.46%"
"Mar 24, 2022","0.5200","0.5000","0.5430","0.4970","4.63%"
"Mar 23, 2022","0.4970","0.5580","0.5690","0.4820","-7.62%"
"Mar 22, 2022","0.5380","0.5630","0.5760","0.5360","9.35%"
"Mar 21, 2022","0.4920","0.4160","0.5100","0.3960","20.44%"
"Mar 20, 2022","0.4085","0.4085","0.4085","0.4085","-1.33%"
"Mar 18, 2022","0.4140","0.4080","0.4310","0.3910","4.55%"
"Mar 17, 2022","0.3960","0.4340","0.4770","0.3910","-13.73%"
"Mar 16, 2022","0.4590","0.4900","0.4900","0.4310","-1.08%"
"Mar 15, 2022","0.4640","0.4720","0.4900","0.4620","9.43%"
"Mar 14, 2022","0.4240","0.3830","0.4290","0.3830","9.96%"
"Mar 13, 2022","0.3856","0.3856","0.3856","0.3856","-2.63%"
"Mar 11, 2022","0.3960","0.3810","0.4160","0.3780","0.00%"
"Mar 10, 2022","0.3960","0.3880","0.4290","0.3810","3.94%"
"Mar 09, 2022","0.3810","0.3980","0.3980","0.3700","1.60%"
"Mar 08, 2022","0.3750","0.3910","0.4080","0.3650","10.29%"
"Mar 07, 2022","0.3400","0.3320","0.3700","0.3250","3.09%"
"Mar 06, 2022","0.3298","0.3298","0.3298","0.3298","-1.55%"
"Mar 04, 2022","0.3350","0.3750","0.3750","0.3270","-8.22%"
"Mar 03, 2022","0.3650","0.3450","0.3860","0.3350","8.96%"
"Mar 02, 2022","0.3350","0.3550","0.3750","0.3320","0.90%"
"Mar 01, 2022","0.3320","0.4080","0.4080","0.3200","3.11%"
"Feb 28, 2022","0.3220","0.3430","0.3680","0.3150","-3.85%"
"Feb 27, 2022","0.3349","0.3323","0.3349","0.3323","-3.76%"
"Feb 25, 2022","0.3480","0.3400","0.3630","0.3270","8.07%"
"Feb 24, 2022","0.3220","0.3910","0.3980","0.3070","-9.30%"
"Feb 23, 2022","0.3550","0.3860","0.4110","0.3550","0.00%"
"Feb 22, 2022","0.3550","0.3600","0.3700","0.3450","2.90%"
"Feb 21, 2022","0.3450","0.3602","0.3602","0.3450","-3.63%"
"Feb 18, 2022","0.3580","0.3700","0.4110","0.3450","-1.92%"
"Feb 17, 2022","0.3650","0.4210","0.4390","0.3600","-4.70%"
"Feb 16, 2022","0.3830","0.4390","0.4390","0.3810","-7.93%"
"Feb 15, 2022","0.4160","0.4570","0.4670","0.4140","6.39%"
"Feb 14, 2022","0.3910","0.3730","0.4390","0.3730","4.83%"
"Feb 11, 2022","0.3730","0.4490","0.4690","0.3530","-8.80%"
"Feb 10, 2022","0.4090","0.2840","0.4340","0.2820","46.59%"
"Feb 09, 2022","0.2790","0.2920","0.2920","0.2790","-1.76%"
"Feb 08, 2022","0.2840","0.2920","0.2920","0.2760","27.35%"
"Feb 07, 2022","0.2230","0.2380","0.2540","0.2180","-5.47%"
"Feb 06, 2022","0.2359","0.2359","0.2359","0.2359","-0.88%"
"Feb 04, 2022","0.2380","0.2080","0.2460","0.2080","16.10%"
"Feb 03, 2022","0.2050","0.2080","0.2160","0.1980","6.22%"
"Feb 02, 2022","0.1930","0.2080","0.2130","0.1900","-10.65%"
"Feb 01, 2022","0.2160","0.2460","0.2510","0.2080","16.76%"
"Jan 31, 2022","0.1850","0.2000","0.2110","0.1830","-6.47%"
"Jan 30, 2022","0.1978","0.1953","0.1978","0.1953","4.11%"
"Jan 28, 2022","0.1900","0.2180","0.2230","0.1880","-7.32%"
"Jan 27, 2022","0.2050","0.2360","0.2360","0.1950","2.50%"
"Jan 26, 2022","0.2000","0.2050","0.2130","0.1850","3.63%"
